session_id	original_session_id
ses-20210527+20210527+154224+s2+p1	ses-20210527_20210527_154224_s2_p1
ses-20210527+20210527+154224+s2+p2	ses-20210527_20210527_154224_s2_p2
ses-20210528+20210528+145202+s3+p1	ses-20210528_20210528_145202_s3_p1
ses-20210528+20210528+145202+s3+p2	ses-20210528_20210528_145202_s3_p2
ses-20210529+20210529+201133+s4+p1	ses-20210529_20210529_201133_s4_p1
ses-20210529+20210529+201133+s4+p2	ses-20210529_20210529_201133_s4_p2
ses-20210530+20210530+193546+s5+p1	ses-20210530_20210530_193546_s5_p1
ses-20210530+20210530+193546+s5+p2	ses-20210530_20210530_193546_s5_p2
ses-20210531+20210531+181515+s6+p1	ses-20210531_20210531_181515_s6_p1
ses-20210531+20210531+181515+s6+p2	ses-20210531_20210531_181515_s6_p2
