session_id	original_session_id
ses-20220215+20220215+153331+s1+p1	ses-20220215_20220215_153331_s1_p1
ses-20220215+20220215+153331+s1+p2	ses-20220215_20220215_153331_s1_p2
ses-20220216+20220216+163932+s2+p1	ses-20220216_20220216_163932_s2_p1
ses-20220216+20220216+163932+s2+p2	ses-20220216_20220216_163932_s2_p2
ses-20220217+20220217+115422+s3+p1	ses-20220217_20220217_115422_s3_p1
ses-20220217+20220217+115422+s3+p2	ses-20220217_20220217_115422_s3_p2
ses-20220218+20220218+092900+s4+p1	ses-20220218_20220218_092900_s4_p1
ses-20220218+20220218+092900+s4+p2	ses-20220218_20220218_092900_s4_p2
ses-20220221+20220221+152433+s5+p1	ses-20220221_20220221_152433_s5_p1
ses-20220221+20220221+152433+s5+p2	ses-20220221_20220221_152433_s5_p2
ses-20220222+20220222+155228+s6+p1	ses-20220222_20220222_155228_s6_p1
ses-20220222+20220222+155228+s6+p2	ses-20220222_20220222_155228_s6_p2
ses-20220223+20220223+111912+s7+p1	ses-20220223_20220223_111912_s7_p1
ses-20220223+20220223+111912+s7+p2	ses-20220223_20220223_111912_s7_p2
