onset	duration	nwb_table	trial_duration
0.0	0.0	trials	5.837
0.0	0.0	trials	6.1592
0.0	0.0	trials	6.0214
0.0	0.0	trials	6.2075
0.0	0.0	trials	6.1577
0.0	0.0	trials	6.4242
0.0	0.0	trials	6.3733
0.0	0.0	trials	8.0015
0.0	0.0	trials	6.1912
0.0	0.0	trials	6.3944
0.0	0.0	trials	6.2091
0.0	0.0	trials	6.2074
0.0	0.0	trials	6.1972
0.0	0.0	trials	6.2553
0.0	0.0	trials	6.3427
0.0	0.0	trials	6.1498
0.0	0.0	trials	6.2079
0.0	0.0	trials	6.369
0.0	0.0	trials	6.1864
0.0	0.0	trials	6.4204
0.0	0.0	trials	5.8753
0.0	0.0	trials	9.736
0.0	0.0	trials	6.3642
0.0	0.0	trials	6.3815
0.0	0.0	trials	6.3668
0.0	0.0	trials	6.381
0.0	0.0	trials	6.2806
0.0	0.0	trials	6.3188
0.0	0.0	trials	6.2772
0.0	0.0	trials	6.2698
0.0	0.0	trials	6.2107
0.0	0.0	trials	6.2621
0.0	0.0	trials	6.1346
0.0	0.0	trials	5.9167
0.0	0.0	trials	6.3754
0.0	0.0	trials	6.2984
0.0	0.0	trials	6.1567
0.0	0.0	trials	6.1893
0.0	0.0	trials	5.8678
0.0	0.0	trials	9.736
0.0	0.0	trials	6.2072
0.0	0.0	trials	6.2096
0.0	0.0	trials	6.1595
0.0	0.0	trials	6.1042
0.0	0.0	trials	6.2646
0.0	0.0	trials	6.277
0.0	0.0	trials	6.1561
0.0	0.0	trials	6.241
0.0	0.0	trials	6.4287
0.0	0.0	trials	6.2169
0.0	0.0	trials	6.2117
0.0	0.0	trials	6.2759
0.0	0.0	trials	6.1006
0.0	0.0	trials	6.3745
0.0	0.0	trials	6.2636
0.0	0.0	trials	6.2364
0.0	0.0	trials	6.211
0.0	0.0	trials	6.2789
0.0	0.0	trials	6.3711
0.0	0.0	trials	6.4227
0.0	0.0	trials	6.5992
0.0	0.0	trials	6.2114
0.0	0.0	trials	6.3956
0.0	0.0	trials	6.3725
0.0	0.0	trials	6.2816
0.0	0.0	trials	6.3683
0.0	0.0	trials	6.1326
0.0	0.0	trials	6.1109
0.0	0.0	trials	6.2381
0.0	0.0	trials	6.1589
0.0	0.0	trials	6.2149
0.0	0.0	trials	9.736
0.0	0.0	trials	6.2092
0.0	0.0	trials	6.3454
0.0	0.0	trials	6.4227
0.0	0.0	trials	6.0797
0.0	0.0	trials	6.4196
0.0	0.0	trials	6.2123
0.0	0.0	trials	6.3753
0.0	0.0	trials	6.3739
0.0	0.0	trials	6.1342
0.0	0.0	trials	6.2625
0.0	0.0	trials	6.2019
0.0	0.0	trials	6.2076
0.0	0.0	trials	6.2602
0.0	0.0	trials	6.3918
0.0	0.0	trials	6.1562
0.0	0.0	trials	6.2629
0.0	0.0	trials	6.3799
0.0	0.0	trials	6.2164
0.0	0.0	trials	6.1588
0.0	0.0	trials	6.1605
0.0	0.0	trials	9.736
0.0	0.0	trials	5.8692
0.0	0.0	trials	6.3434
0.0	0.0	trials	6.3198
0.0	0.0	trials	6.3857
0.0	0.0	trials	6.1327
0.0	0.0	trials	6.4261
0.0	0.0	trials	9.736
0.0	0.0	trials	6.4263
0.0	0.0	trials	6.3769
0.0	0.0	trials	6.3627
