participant_id	species	sex	strain
sub-DL004	Mus musculus	M	014548
sub-DL005	Mus musculus	M	014548
sub-DL006	Mus musculus	M	014548
sub-DL007	Mus musculus	M	014548
sub-DL008	Mus musculus	M	014548
sub-DL009	Mus musculus	M	014548
sub-DL010	Mus musculus	M	014548
sub-DL011	Mus musculus	M	014548
sub-DL012	Mus musculus	M	014548
sub-DL014	Mus musculus	M	014548
sub-DL015	Mus musculus	M	014548
sub-DL016	Mus musculus	F	014548
sub-DL017	Mus musculus	M	014548
sub-DL018	Mus musculus	M	014548
sub-DL019	Mus musculus	M	014548
sub-DL020	Mus musculus	F	014548
sub-DL021	Mus musculus	F	014548
sub-DL022	Mus musculus	M	014548
sub-DL023	Mus musculus	M	014548
sub-DL024	Mus musculus	F	014548
sub-DL025	Mus musculus	F	014548
sub-DL026	Mus musculus	M	014548
sub-DL027	Mus musculus	M	014548
sub-DL028	Mus musculus	M	014548
sub-DL029	Mus musculus	M	014548
sub-DL030	Mus musculus	F	014548
sub-DL031	Mus musculus	F	014548
sub-DL032	Mus musculus	M	014548
sub-DL033	Mus musculus	F	014548
sub-DL034	Mus musculus	F	014548
sub-DL035	Mus musculus	M	014548
