onset	duration	nwb_table	trial_duration
0.0	0.0	trials	5.835
0.0	0.0	trials	6.362
0.0	0.0	trials	6.4197
0.0	0.0	trials	5.8708
0.0	0.0	trials	6.3605
0.0	0.0	trials	6.3576
0.0	0.0	trials	6.4617
0.0	0.0	trials	6.4184
0.0	0.0	trials	5.877
0.0	0.0	trials	6.3703
0.0	0.0	trials	6.4161
0.0	0.0	trials	6.3716
0.0	0.0	trials	5.8438
0.0	0.0	trials	6.4223
0.0	0.0	trials	6.4594
0.0	0.0	trials	5.8436
0.0	0.0	trials	6.3579
0.0	0.0	trials	5.8497
0.0	0.0	trials	6.374
0.0	0.0	trials	6.4234
0.0	0.0	trials	6.5711
0.0	0.0	trials	6.4169
0.0	0.0	trials	6.4196
0.0	0.0	trials	6.411
0.0	0.0	trials	5.8447
0.0	0.0	trials	6.3654
0.0	0.0	trials	6.5707
0.0	0.0	trials	5.8679
0.0	0.0	trials	6.3643
0.0	0.0	trials	6.702
0.0	0.0	trials	6.6707
0.0	0.0	trials	6.4629
0.0	0.0	trials	6.4552
0.0	0.0	trials	5.8538
0.0	0.0	trials	6.3673
0.0	0.0	trials	6.369
0.0	0.0	trials	6.4389
0.0	0.0	trials	6.7253
0.0	0.0	trials	6.3655
0.0	0.0	trials	6.4615
0.0	0.0	trials	5.8533
0.0	0.0	trials	5.8533
0.0	0.0	trials	6.4614
0.0	0.0	trials	6.4181
0.0	0.0	trials	6.4259
0.0	0.0	trials	5.8525
0.0	0.0	trials	6.41
0.0	0.0	trials	6.3782
0.0	0.0	trials	5.8672
0.0	0.0	trials	6.334
0.0	0.0	trials	6.4238
0.0	0.0	trials	6.4226
0.0	0.0	trials	6.4769
0.0	0.0	trials	6.4172
0.0	0.0	trials	6.5119
0.0	0.0	trials	6.3493
0.0	0.0	trials	6.4434
0.0	0.0	trials	6.1967
0.0	0.0	trials	6.4093
0.0	0.0	trials	6.4586
0.0	0.0	trials	6.4627
0.0	0.0	trials	6.3746
0.0	0.0	trials	6.3729
0.0	0.0	trials	6.5719
0.0	0.0	trials	6.4595
0.0	0.0	trials	6.3545
0.0	0.0	trials	6.4361
0.0	0.0	trials	6.4241
0.0	0.0	trials	6.1973
0.0	0.0	trials	5.857
0.0	0.0	trials	6.363
0.0	0.0	trials	6.3691
0.0	0.0	trials	6.6434
0.0	0.0	trials	6.5753
0.0	0.0	trials	6.485
0.0	0.0	trials	5.8437
0.0	0.0	trials	6.4264
0.0	0.0	trials	5.8521
0.0	0.0	trials	6.6452
0.0	0.0	trials	6.5748
0.0	0.0	trials	6.3677
0.0	0.0	trials	6.4586
0.0	0.0	trials	6.5854
0.0	0.0	trials	6.4243
0.0	0.0	trials	6.4196
0.0	0.0	trials	6.411
0.0	0.0	trials	5.8555
0.0	0.0	trials	6.6759
0.0	0.0	trials	6.6644
0.0	0.0	trials	6.1978
0.0	0.0	trials	6.4258
0.0	0.0	trials	6.6422
0.0	0.0	trials	6.3867
0.0	0.0	trials	6.4255
0.0	0.0	trials	6.5874
0.0	0.0	trials	6.3743
0.0	0.0	trials	6.378
0.0	0.0	trials	6.4456
0.0	0.0	trials	6.1972
0.0	0.0	trials	6.4576
0.0	0.0	trials	6.5858
0.0	0.0	trials	6.5402
0.0	0.0	trials	6.371
0.0	0.0	trials	6.1469
0.0	0.0	trials	6.3824
0.0	0.0	trials	6.4152
0.0	0.0	trials	6.3678
0.0	0.0	trials	6.4836
0.0	0.0	trials	6.3679
0.0	0.0	trials	6.3471
0.0	0.0	trials	6.4664
0.0	0.0	trials	6.4244
0.0	0.0	trials	6.6729
0.0	0.0	trials	6.5669
0.0	0.0	trials	6.4102
0.0	0.0	trials	6.3781
0.0	0.0	trials	6.6233
0.0	0.0	trials	6.4287
0.0	0.0	trials	6.4176
0.0	0.0	trials	6.6206
0.0	0.0	trials	6.4295
0.0	0.0	trials	6.3686
0.0	0.0	trials	6.4091
