onset	duration	nwb_table	trial_duration
0.0	0.0	trials	5.8637
0.0	0.0	trials	6.3423
0.0	0.0	trials	6.2145
0.0	0.0	trials	6.2649
0.0	0.0	trials	6.3813
0.0	0.0	trials	6.2668
0.0	0.0	trials	6.4137
0.0	0.0	trials	6.3739
0.0	0.0	trials	6.2088
0.0	0.0	trials	6.3867
0.0	0.0	trials	6.3857
0.0	0.0	trials	6.4694
0.0	0.0	trials	6.4093
0.0	0.0	trials	6.3087
0.0	0.0	trials	6.2995
0.0	0.0	trials	6.4195
0.0	0.0	trials	6.4045
0.0	0.0	trials	6.3378
0.0	0.0	trials	6.3763
0.0	0.0	trials	6.3999
0.0	0.0	trials	6.4069
0.0	0.0	trials	6.4373
0.0	0.0	trials	6.4573
0.0	0.0	trials	6.2568
0.0	0.0	trials	6.433
0.0	0.0	trials	6.3798
0.0	0.0	trials	6.4179
0.0	0.0	trials	6.4145
0.0	0.0	trials	6.552
0.0	0.0	trials	6.3088
0.0	0.0	trials	6.2947
0.0	0.0	trials	6.208
0.0	0.0	trials	6.2882
0.0	0.0	trials	6.3517
0.0	0.0	trials	6.2394
0.0	0.0	trials	6.2694
0.0	0.0	trials	6.5447
0.0	0.0	trials	6.2672
0.0	0.0	trials	6.3391
0.0	0.0	trials	6.2129
0.0	0.0	trials	6.41
0.0	0.0	trials	6.3428
0.0	0.0	trials	6.288
0.0	0.0	trials	6.4162
0.0	0.0	trials	6.4078
0.0	0.0	trials	6.4627
0.0	0.0	trials	6.4903
0.0	0.0	trials	6.2438
0.0	0.0	trials	6.3536
0.0	0.0	trials	6.2991
0.0	0.0	trials	6.2947
0.0	0.0	trials	6.3496
0.0	0.0	trials	6.3532
0.0	0.0	trials	6.4089
0.0	0.0	trials	6.347
0.0	0.0	trials	6.4581
0.0	0.0	trials	6.3504
0.0	0.0	trials	6.4559
0.0	0.0	trials	6.4055
0.0	0.0	trials	6.3
0.0	0.0	trials	6.4041
0.0	0.0	trials	6.3938
0.0	0.0	trials	6.3544
0.0	0.0	trials	6.2889
0.0	0.0	trials	6.3015
0.0	0.0	trials	6.3363
0.0	0.0	trials	6.6341
0.0	0.0	trials	6.4153
0.0	0.0	trials	6.3373
0.0	0.0	trials	6.3514
0.0	0.0	trials	6.3006
0.0	0.0	trials	6.3908
0.0	0.0	trials	6.4552
0.0	0.0	trials	6.4437
0.0	0.0	trials	6.3503
0.0	0.0	trials	6.3967
0.0	0.0	trials	6.4094
0.0	0.0	trials	6.3604
0.0	0.0	trials	6.4141
0.0	0.0	trials	6.2806
0.0	0.0	trials	6.3898
0.0	0.0	trials	6.4022
0.0	0.0	trials	6.3499
0.0	0.0	trials	6.3669
0.0	0.0	trials	6.4965
0.0	0.0	trials	6.4163
0.0	0.0	trials	6.4599
0.0	0.0	trials	6.3534
0.0	0.0	trials	6.4011
0.0	0.0	trials	6.2807
0.0	0.0	trials	6.3921
0.0	0.0	trials	6.3563
0.0	0.0	trials	6.4002
0.0	0.0	trials	6.392
0.0	0.0	trials	6.4166
0.0	0.0	trials	6.4043
0.0	0.0	trials	6.4536
0.0	0.0	trials	6.4912
0.0	0.0	trials	6.2886
0.0	0.0	trials	6.443
0.0	0.0	trials	6.355
0.0	0.0	trials	6.3869
0.0	0.0	trials	6.414
0.0	0.0	trials	6.3315
0.0	0.0	trials	6.3316
0.0	0.0	trials	6.384
0.0	0.0	trials	6.4453
