onset	duration	nwb_table	trial_duration
0.0	0.0	trials	6.559
0.0	0.0	trials	6.4136
0.0	0.0	trials	6.4401
0.0	0.0	trials	6.5517
0.0	0.0	trials	6.578
0.0	0.0	trials	6.6584
0.0	0.0	trials	6.3826
0.0	0.0	trials	6.5044
0.0	0.0	trials	6.4145
0.0	0.0	trials	6.3744
0.0	0.0	trials	6.4948
0.0	0.0	trials	6.7211
0.0	0.0	trials	6.4137
0.0	0.0	trials	6.3798
0.0	0.0	trials	6.3871
0.0	0.0	trials	6.4951
0.0	0.0	trials	6.769
0.0	0.0	trials	6.5286
0.0	0.0	trials	6.5241
0.0	0.0	trials	6.542
0.0	0.0	trials	6.4125
0.0	0.0	trials	6.3795
0.0	0.0	trials	6.5277
0.0	0.0	trials	6.4135
0.0	0.0	trials	6.411
0.0	0.0	trials	6.3826
0.0	0.0	trials	6.4855
0.0	0.0	trials	6.4979
0.0	0.0	trials	6.5296
0.0	0.0	trials	6.3661
0.0	0.0	trials	6.4157
0.0	0.0	trials	6.5838
0.0	0.0	trials	6.5768
0.0	0.0	trials	6.5317
0.0	0.0	trials	6.3925
0.0	0.0	trials	6.6867
0.0	0.0	trials	6.4172
0.0	0.0	trials	6.5828
0.0	0.0	trials	6.6052
0.0	0.0	trials	6.4124
0.0	0.0	trials	6.7294
0.0	0.0	trials	6.588
0.0	0.0	trials	6.7676
0.0	0.0	trials	6.3016
0.0	0.0	trials	6.4187
0.0	0.0	trials	6.5266
0.0	0.0	trials	6.7325
0.0	0.0	trials	6.5565
0.0	0.0	trials	6.4948
0.0	0.0	trials	7.0124
0.0	0.0	trials	6.4124
0.0	0.0	trials	6.5755
0.0	0.0	trials	6.3836
0.0	0.0	trials	6.8727
0.0	0.0	trials	6.4102
0.0	0.0	trials	6.5864
0.0	0.0	trials	6.5799
0.0	0.0	trials	6.5089
0.0	0.0	trials	6.4925
0.0	0.0	trials	6.7072
0.0	0.0	trials	6.4177
0.0	0.0	trials	6.3235
0.0	0.0	trials	6.415
0.0	0.0	trials	6.3575
0.0	0.0	trials	6.5304
0.0	0.0	trials	6.5271
0.0	0.0	trials	6.4149
0.0	0.0	trials	6.3564
0.0	0.0	trials	6.5781
0.0	0.0	trials	6.4336
0.0	0.0	trials	6.724
0.0	0.0	trials	6.5791
0.0	0.0	trials	6.4122
0.0	0.0	trials	6.4159
0.0	0.0	trials	6.5776
0.0	0.0	trials	6.7461
0.0	0.0	trials	6.5296
0.0	0.0	trials	6.4746
0.0	0.0	trials	6.3704
0.0	0.0	trials	6.579
0.0	0.0	trials	6.4178
0.0	0.0	trials	6.4126
0.0	0.0	trials	6.5759
0.0	0.0	trials	6.4205
0.0	0.0	trials	6.7225
0.0	0.0	trials	6.4187
0.0	0.0	trials	6.5765
0.0	0.0	trials	6.4955
0.0	0.0	trials	6.4982
0.0	0.0	trials	6.7315
0.0	0.0	trials	6.4979
0.0	0.0	trials	6.7249
0.0	0.0	trials	6.5764
0.0	0.0	trials	6.3468
0.0	0.0	trials	6.4136
0.0	0.0	trials	6.4137
0.0	0.0	trials	6.5322
0.0	0.0	trials	6.5335
0.0	0.0	trials	6.3806
0.0	0.0	trials	6.581
0.0	0.0	trials	6.3539
0.0	0.0	trials	6.4121
0.0	0.0	trials	6.5273
0.0	0.0	trials	6.3717
0.0	0.0	trials	6.4548
0.0	0.0	trials	6.7219
0.0	0.0	trials	6.6425
0.0	0.0	trials	6.4387
0.0	0.0	trials	6.4145
0.0	0.0	trials	6.5271
0.0	0.0	trials	6.5738
0.0	0.0	trials	6.3695
0.0	0.0	trials	6.3668
0.0	0.0	trials	6.4178
0.0	0.0	trials	6.5263
0.0	0.0	trials	6.3659
0.0	0.0	trials	6.7235
0.0	0.0	trials	6.3702
0.0	0.0	trials	6.7067
0.0	0.0	trials	6.4169
0.0	0.0	trials	6.5764
0.0	0.0	trials	6.7307
0.0	0.0	trials	6.369
0.0	0.0	trials	6.5846
0.0	0.0	trials	6.55
0.0	0.0	trials	6.5273
0.0	0.0	trials	6.4989
0.0	0.0	trials	6.5827
0.0	0.0	trials	6.4902
0.0	0.0	trials	6.3719
0.0	0.0	trials	6.7259
0.0	0.0	trials	6.5326
0.0	0.0	trials	6.3594
0.0	0.0	trials	6.3648
0.0	0.0	trials	7.6097
0.0	0.0	trials	6.4935
0.0	0.0	trials	6.4133
0.0	0.0	trials	6.5799
0.0	0.0	trials	6.7266
0.0	0.0	trials	6.5295
0.0	0.0	trials	6.4117
0.0	0.0	trials	6.1218
0.0	0.0	trials	6.3691
0.0	0.0	trials	6.4106
0.0	0.0	trials	6.5765
0.0	0.0	trials	6.494
0.0	0.0	trials	6.4128
0.0	0.0	trials	6.5876
0.0	0.0	trials	7.324
0.0	0.0	trials	6.4732
0.0	0.0	trials	6.4126
0.0	0.0	trials	6.3866
0.0	0.0	trials	6.5767
0.0	0.0	trials	6.3743
0.0	0.0	trials	6.5755
0.0	0.0	trials	6.372
0.0	0.0	trials	6.4094
0.0	0.0	trials	6.4161
0.0	0.0	trials	6.5855
0.0	0.0	trials	6.4175
0.0	0.0	trials	6.7693
0.0	0.0	trials	6.6397
0.0	0.0	trials	6.6168
0.0	0.0	trials	6.7285
0.0	0.0	trials	6.3705
0.0	0.0	trials	6.5018
0.0	0.0	trials	6.4094
0.0	0.0	trials	6.4201
0.0	0.0	trials	6.472
0.0	0.0	trials	6.5774
0.0	0.0	trials	6.4132
0.0	0.0	trials	6.5484
0.0	0.0	trials	6.4091
0.0	0.0	trials	6.4133
0.0	0.0	trials	6.3874
0.0	0.0	trials	6.367
0.0	0.0	trials	6.7282
