session_id	original_session_id
ses-20210604+20210604+134932+s2+p1	ses-20210604_20210604_134932_s2_p1
ses-20210604+20210604+134932+s2+p2	ses-20210604_20210604_134932_s2_p2
ses-20210605+20210605+180522+s3+p1	ses-20210605_20210605_180522_s3_p1
ses-20210605+20210605+180522+s3+p2	ses-20210605_20210605_180522_s3_p2
ses-20210606+20210606+190433+s4+p1	ses-20210606_20210606_190433_s4_p1
ses-20210606+20210606+190433+s4+p2	ses-20210606_20210606_190433_s4_p2
ses-20210607+20210607+154829+s5+p1	ses-20210607_20210607_154829_s5_p1
ses-20210608+20210608+160542+s6+p1	ses-20210608_20210608_160542_s6_p1
ses-20210608+20210608+160542+s6+p2	ses-20210608_20210608_160542_s6_p2
